"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"17.04.2022","4.271,78","4.384,30","4.512,94","4.268,10","","-2,75%"
"10.04.2022","4.392,59","4.458,80","4.471,67","4.381,09","","-2,13%"
"03.04.2022","4.488,28","4.546,50","4.593,90","4.450,00","","-1,27%"
"27.03.2022","4.545,86","4.536,73","4.637,90","4.507,20","","0,06%"
"20.03.2022","4.543,04","4.462,24","4.546,07","4.423,90","","1,79%"
"13.03.2022","4.463,09","4.214,90","4.466,40","4.161,18","","6,16%"
"06.03.2022","4.204,31","4.319,93","4.324,00","4.157,20","","-2,88%"
"27.02.2022","4.328,87","4.326,72","4.416,60","4.280,04","","-1,27%"
"20.02.2022","4.384,62","4.329,23","4.385,80","4.114,50","","0,82%"
"13.02.2022","4.348,87","4.410,70","4.489,40","4.326,99","","-1,58%"
"06.02.2022","4.418,64","4.510,20","4.589,70","4.401,00","","-1,82%"
"30.01.2022","4.500,54","4.423,30","4.595,10","4.411,09","","1,55%"
"23.01.2022","4.431,85","4.328,40","4.454,10","4.221,54","","0,77%"
"16.01.2022","4.397,93","4.612,60","4.614,40","4.395,00","","-5,68%"
"09.01.2022","4.662,85","4.642,60","4.748,61","4.581,80","","-0,30%"
"02.01.2022","4.677,02","4.781,00","4.817,88","4.662,75","","-1,87%"
"26.12.2021","4.766,18","4.740,05","4.808,52","4.739,20","","0,85%"
"19.12.2021","4.725,78","4.562,27","4.740,49","4.530,85","","2,28%"
"12.12.2021","4.620,64","4.707,40","4.732,34","4.599,40","","-1,94%"
"05.12.2021","4.712,02","4.565,70","4.713,60","4.541,53","","3,82%"
"28.11.2021","4.538,43","4.648,68","4.673,07","4.494,20","","-1,22%"
"21.11.2021","4.594,62","4.716,00","4.743,74","4.585,78","","-2,20%"
"14.11.2021","4.697,96","4.696,29","4.718,30","4.672,97","","0,32%"
"07.11.2021","4.682,85","4.709,71","4.714,20","4.630,97","","-0,31%"
"31.10.2021","4.697,53","4.616,47","4.718,35","4.594,80","","2,00%"
"24.10.2021","4.605,38","4.556,00","4.608,70","4.537,38","","1,33%"
"17.10.2021","4.544,90","4.453,57","4.559,70","4.445,90","","1,64%"
"10.10.2021","4.471,37","4.386,35","4.476,30","4.329,40","","1,82%"
"03.10.2021","4.391,36","4.344,35","4.430,59","4.278,70","","0,79%"
"26.09.2021","4.357,05","4.443,10","4.457,25","4.288,05","","-2,21%"
"19.09.2021","4.455,48","4.361,30","4.465,80","4.305,61","","0,51%"
"12.09.2021","4.432,99","4.491,90","4.493,79","4.427,90","","-0,57%"
"05.09.2021","4.458,58","4.532,19","4.532,19","4.457,98","","-1,69%"
"29.08.2021","4.535,43","4.517,20","4.544,58","4.514,40","","0,58%"
"22.08.2021","4.509,37","4.459,30","4.513,40","4.459,30","","1,52%"
"15.08.2021","4.441,67","4.456,10","4.480,01","4.369,20","","-0,59%"
"08.08.2021","4.468,00","4.436,20","4.468,82","4.424,20","","0,71%"
"01.08.2021","4.436,52","4.415,90","4.440,20","4.373,20","","0,94%"
"25.07.2021","4.395,26","4.405,80","4.430,20","4.372,60","","-0,37%"
"18.07.2021","4.411,80","4.273,40","4.415,90","4.232,80","","1,96%"
"11.07.2021","4.327,16","4.372,41","4.393,68","4.322,53","","-0,97%"
"04.07.2021","4.369,55","4.356,46","4.371,60","4.289,37","","0,40%"
"27.06.2021","4.352,34","4.284,90","4.355,43","4.274,67","","1,67%"
"20.06.2021","4.280,70","4.173,40","4.286,12","4.173,40","","2,74%"
"13.06.2021","4.166,45","4.248,31","4.257,16","4.164,40","","-1,91%"
"06.06.2021","4.247,44","4.229,34","4.249,74","4.208,41","","0,41%"
"30.05.2021","4.229,89","4.216,52","4.234,12","4.167,93","","0,61%"
"23.05.2021","4.204,11","4.170,16","4.218,36","4.170,16","","1,16%"
"16.05.2021","4.155,86","4.169,92","4.188,72","4.061,41","","-0,43%"
"09.05.2021","4.173,85","4.228,29","4.236,39","4.056,88","","-1,39%"
"02.05.2021","4.232,60","4.191,98","4.238,04","4.128,59","","1,23%"
"25.04.2021","4.181,17","4.185,03","4.218,78","4.174,85","","0,02%"
"18.04.2021","4.180,17","4.179,80","4.194,17","4.118,38","","-0,13%"
"11.04.2021","4.185,47","4.124,71","4.191,31","4.114,82","","1,37%"
"04.04.2021","4.128,80","4.034,44","4.129,48","4.034,44","","2,71%"
"28.03.2021","4.019,87","3.969,31","4.020,63","3.943,25","","1,14%"
"21.03.2021","3.974,54","3.916,48","3.978,19","3.853,50","","1,57%"
