"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.12.2018","888,31","906,75","913,38","873,99","3,27B","-1,77%"
"23.12.2018","904,35","921,39","924,36","901,07","2,99B","-1,55%"
"16.12.2018","918,61","905,96","925,83","895,67","5,31B","1,47%"
"09.12.2018","905,29","932,46","934,54","893,38","5,15B","-3,38%"
"02.12.2018","936,99","963,67","968,30","923,75","6,18B","-1,80%"
"25.11.2018","954,16","935,22","955,45","930,43","6,79B","2,59%"
"18.11.2018","930,03","935,68","946,03","915,46","5,73B","-0,65%"
"11.11.2018","936,16","930,06","943,08","912,98","5,86B","0,84%"
"04.11.2018","928,39","945,24","962,82","921,27","6,54B","-1,36%"
"28.10.2018","941,23","908,84","945,71","885,64","5,26B","3,96%"
"21.10.2018","905,42","972,16","974,06","905,42","5,45B","-6,13%"
"14.10.2018","964,55","973,47","995,54","963,35","7,41B","-0,21%"
"07.10.2018","966,57","941,32","971,69","933,89","7,62B","1,87%"
"30.09.2018","948,83","1.000,75","1.006,47","931,69","6,83B","-5,08%"
"23.09.2018","999,57","982,84","1.006,38","977,82","8,74B","2,01%"
"16.09.2018","979,88","944,77","979,88","937,90","7,83B","3,41%"
"09.09.2018","947,60","935,33","962,99","912,06","6,03B","1,59%"
"02.09.2018","932,74","922,91","946,56","922,06","4,59B","0,59%"
"26.08.2018","927,23","909,21","942,80","899,99","4,22B","2,81%"
"19.08.2018","901,86","889,85","904,76","889,39","389,00M","1,64%"
"12.08.2018","887,35","938,70","952,99","846,54","8,97B","-6,54%"
"05.08.2018","949,40","952,90","987,44","885,98","8,49B","-0,70%"
"29.07.2018","956,10","953,40","974,10","941,53","5,79B","0,03%"
"22.07.2018","955,85","941,73","966,81","917,23","7,11B","1,60%"
"15.07.2018","940,82","906,83","941,69","891,66","6,19B","4,65%"
"08.07.2018","898,98","995,96","1.008,08","881,69","7,67B","-8,95%"
"01.07.2018","987,34","960,94","998,06","956,55","5,21B","2,29%"
"24.06.2018","965,20","992,56","993,94","933,65","6,05B","0,70%"
"17.06.2018","958,52","942,36","961,87","922,89","4,12B","1,39%"
"10.06.2018","945,41","959,22","971,87","927,51","3,44B","-1,39%"
"03.06.2018","958,76","992,64","1.005,10","951,26","5,17B","-3,32%"
"27.05.2018","991,71","1.044,81","1.065,25","979,91","5,62B","-3,90%"
"20.05.2018","1.032,00","1.021,67","1.037,70","1.008,89","5,21B","0,77%"
"13.05.2018","1.024,10","1.017,38","1.037,63","1.006,55","4,67B","0,55%"
"06.05.2018","1.018,52","1.025,75","1.028,77","978,49","5,28B","-0,73%"
"29.04.2018","1.025,99","1.079,40","1.081,71","1.015,49","4,31B","-4,66%"
"22.04.2018","1.076,14","1.106,30","1.108,51","1.062,78","3,91B","-2,99%"
"15.04.2018","1.109,32","1.098,61","1.124,07","1.074,39","6,12B","1,21%"
"08.04.2018","1.096,04","1.154,26","1.154,65","1.066,24","6,04B","-4,47%"
"01.04.2018","1.147,38","1.152,17","1.153,90","1.132,82","5,03B","-0,17%"
"25.03.2018","1.149,30","1.171,26","1.177,88","1.134,26","6,77B","-1,43%"
"18.03.2018","1.166,03","1.171,75","1.185,90","1.150,83","5,92B","-0,52%"
"11.03.2018","1.172,16","1.177,04","1.189,78","1.168,29","5,00B","0,26%"
"04.03.2018","1.169,15","1.170,33","1.177,20","1.159,30","4,14B","0,05%"
"25.02.2018","1.168,59","1.182,95","1.192,45","1.162,65","4,79B","-0,56%"
"18.02.2018","1.175,21","1.170,75","1.178,54","1.132,68","4,68B","0,87%"
"11.02.2018","1.165,11","1.145,93","1.175,18","1.132,49","4,54B","2,57%"
"04.02.2018","1.135,90","1.177,25","1.181,21","1.125,04","5,51B","-3,83%"
"28.01.2018","1.181,19","1.213,41","1.215,31","1.177,93","5,71B","-2,14%"
"21.01.2018","1.207,02","1.156,39","1.207,02","1.152,89","6,61B","4,82%"
"14.01.2018","1.151,47","1.142,86","1.177,59","1.111,07","7,52B","0,44%"
"07.01.2018","1.146,45","1.175,14","1.177,84","1.128,84","6,14B","-1,71%"
"31.12.2017","1.166,38","1.157,34","1.183,95","1.151,52","5,94B","1,13%"
"24.12.2017","1.153,33","1.117,05","1.158,40","1.113,91","3,87B","3,81%"
